success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,view_history,rt,stimulus,response,task,retrieval_group,correct_response,correct
,,,,,image-keyboard-response,120,470847,0.0-7.0-2.0-0.18,1,,1783,img/testing_events/Bc/Test_Bc_Event_10.jpg,e,response,Bc,e,TRUE
,,,,,image-keyboard-response,121,473661,0.0-7.0-2.0-0.19,1,,2806,img/testing_events/Bc/Test_Bc_Event_1.jpg,n,response,Bc,n,TRUE
,,,,,image-keyboard-response,122,476758,0.0-7.0-2.0-0.20,1,,3085,img/testing_events/Bc/Test_Bc_Event_6.jpg,e,response,Bc,e,TRUE
,,,,,image-keyboard-response,123,478199,0.0-7.0-2.0-0.21,1,,1437,img/testing_events/Bc/Test_Bc_Event_12.jpg,u,response,Bc,c,FALSE
,,,,,image-keyboard-response,124,480728,0.0-7.0-2.0-0.22,1,,2521,img/testing_events/Bc/Test_Bc_Event_13.jpg,n,response,Bc,n,TRUE
,,,,,image-keyboard-response,125,481662,0.0-7.0-2.0-0.23,1,,924,img/testing_events/Bc/Test_Bc_Event_22.jpg,e,response,Bc,e,TRUE
,,,,,image-keyboard-response,126,485805,0.0-7.0-3.0-0.0,1,,4124,img/testing_events/Cb/Test_Cb_Event_18.jpg,u,response,Cb,c,FALSE
,,,,,image-keyboard-response,127,488748,0.0-7.0-3.0-0.1,1,,2938,img/testing_events/Cb/Test_Cb_Event_19.jpg,e,response,Cb,n,FALSE
,,,,,image-keyboard-response,128,490117,0.0-7.0-3.0-0.2,1,,1360,img/testing_events/Cb/Test_Cb_Event_15.jpg,n,response,Cb,n,TRUE
,,,,,image-keyboard-response,129,492525,0.0-7.0-3.0-0.3,1,,2400,img/testing_events/Cb/Test_Cb_Event_6.jpg,n,response,Cb,c,FALSE
,,,,,image-keyboard-response,130,494031,0.0-7.0-3.0-0.4,1,,1499,img/testing_events/Cb/Test_Cb_Event_5.jpg,u,response,Cb,u,TRUE
,,,,,image-keyboard-response,131,499237,0.0-7.0-3.0-0.5,1,,5198,img/testing_events/Cb/Test_Cb_Event_12.jpg,n,response,Cb,e,FALSE
,,,,,image-keyboard-response,132,500882,0.0-7.0-3.0-0.6,1,,1632,img/testing_events/Cb/Test_Cb_Event_13.jpg,u,response,Cb,u,TRUE
,,,,,image-keyboard-response,133,502680,0.0-7.0-3.0-0.7,1,,1790,img/testing_events/Cb/Test_Cb_Event_22.jpg,c,response,Cb,c,TRUE
,,,,,image-keyboard-response,134,506545,0.0-7.0-3.0-0.8,1,,3856,img/testing_events/Cb/Test_Cb_Event_10.jpg,e,response,Cb,c,FALSE
,,,,,image-keyboard-response,135,510645,0.0-7.0-3.0-0.9,1,,4093,img/testing_events/Cb/Test_Cb_Event_24.jpg,n,response,Cb,e,FALSE
,,,,,image-keyboard-response,136,517813,0.0-7.0-3.0-0.10,1,,7162,img/testing_events/Cb/Test_Cb_Event_20.jpg,e,response,Cb,e,TRUE
,,,,,image-keyboard-response,137,521258,0.0-7.0-3.0-0.11,1,,3438,img/testing_events/Cb/Test_Cb_Event_8.jpg,n,response,Cb,e,FALSE
,,,,,image-keyboard-response,138,522812,0.0-7.0-3.0-0.12,1,,1550,img/testing_events/Cb/Test_Cb_Event_21.jpg,c,response,Cb,u,FALSE
,,,,,image-keyboard-response,139,524087,0.0-7.0-3.0-0.13,1,,1266,img/testing_events/Cb/Test_Cb_Event_14.jpg,c,response,Cb,c,TRUE
,,,,,image-keyboard-response,140,526694,0.0-7.0-3.0-0.14,1,,2603,img/testing_events/Cb/Test_Cb_Event_3.jpg,u,response,Cb,n,FALSE
,,,,,image-keyboard-response,141,527857,0.0-7.0-3.0-0.15,1,,1155,img/testing_events/Cb/Test_Cb_Event_16.jpg,e,response,Cb,e,TRUE
,,,,,image-keyboard-response,142,530025,0.0-7.0-3.0-0.16,1,,2163,img/testing_events/Cb/Test_Cb_Event_9.jpg,n,response,Cb,u,FALSE
,,,,,image-keyboard-response,143,533408,0.0-7.0-3.0-0.17,1,,3376,img/testing_events/Cb/Test_Cb_Event_11.jpg,n,response,Cb,n,TRUE
,,,,,image-keyboard-response,144,534956,0.0-7.0-3.0-0.18,1,,1541,img/testing_events/Cb/Test_Cb_Event_17.jpg,u,response,Cb,u,TRUE
